#,Single or pair,Carbon source,Well,Replicate
1,Single,Acetate,A1,1
1,Single,Acetate,A2,2
1,Single,Acetate,A3,3
2,Single,D-Glucose,A4,1
2,Single,D-Glucose,A5,2
2,Single,D-Glucose,A6,3
3,Single,Citrate,A7,1
3,Single,Citrate,A8,2
3,Single,Citrate,A9,3
4,Single,Glutarate,A10,1
4,Single,Glutarate,A11,2
4,Single,Glutarate,A12,3
5,Single,Glycerol,B1,1
5,Single,Glycerol,B2,2
5,Single,Glycerol,B3,3
6,Single,Inosine,B4,1
6,Single,Inosine,B5,2
6,Single,Inosine,B6,3
7,Single,L-Alanine,B7,1
7,Single,L-Alanine,B8,2
7,Single,L-Alanine,B9,3
8,Single,L-Glutamate,B10,1
8,Single,L-Glutamate,B11,2
8,Single,L-Glutamate,B12,3
9,Single,L-Histidine,C1,1
9,Single,L-Histidine,C2,2
9,Single,L-Histidine,C3,3
10,Single,L-Isoleucine,C4,1
10,Single,L-Isoleucine,C5,2
10,Single,L-Isoleucine,C6,3
11,Single,Malate,C7,1
11,Single,Malate,C8,2
11,Single,Malate,C9,3
12,Single,Mannitol,C10,1
12,Single,Mannitol,C11,2
12,Single,Mannitol,C12,3
13,Single,Mannose,D1,1
13,Single,Mannose,D2,2
13,Single,Mannose,D3,3
14,Single,Myo-inositol,D4,1
14,Single,Myo-inositol,D5,2
14,Single,Myo-inositol,D6,3
15,Single,D-Xylose,D7,1
15,Single,D-Xylose,D8,2
15,Single,D-Xylose,D9,3
16,Single,Ribose,D10,1
16,Single,Ribose,D11,2
16,Single,Ribose,D12,3
17,Pair,Citrate + D-Glucose,E1,1
17,Pair,Citrate + D-Glucose,E2,2
17,Pair,Citrate + D-Glucose,E3,3
18,Pair,Glycerol + L-Isoleucine,E4,1
18,Pair,Glycerol + L-Isoleucine,E5,2
18,Pair,Glycerol + L-Isoleucine,E6,3
19,Pair,Glutarate + Inosine,E7,1
19,Pair,Glutarate + Inosine,E8,2
19,Pair,Glutarate + Inosine,E9,3
20,Pair,Malate + Citrate,E10,1
20,Pair,Malate + Citrate,E11,2
20,Pair,Malate + Citrate,E12,3
21,Pair,Acetate + L-Alanine,F1,1
21,Pair,Acetate + L-Alanine,F2,2
21,Pair,Acetate + L-Alanine,F3,3
22,Pair,L-Glutamate + Mannose,F4,1
22,Pair,L-Glutamate + Mannose,F5,2
22,Pair,L-Glutamate + Mannose,F6,3
23,Pair,L-Histidine + Mannose,F7,1
23,Pair,L-Histidine + Mannose,F8,2
23,Pair,L-Histidine + Mannose,F9,3
24,Pair,Mannitol + Acetate,F10,1
24,Pair,Mannitol + Acetate,F11,2
24,Pair,Mannitol + Acetate,F12,3
25,Pair,Myo-inositol + L-Glutamate,G1,1
25,Pair,Myo-inositol + L-Glutamate,G2,2
25,Pair,Myo-inositol + L-Glutamate,G3,3
26,Pair,Ribose + Glutarate,G4,1
26,Pair,Ribose + Glutarate,G5,2
26,Pair,Ribose + Glutarate,G6,3
27,Pair,D-Xylose + L-Histidine,G7,1
27,Pair,D-Xylose + L-Histidine,G8,2
27,Pair,D-Xylose + L-Histidine,G9,3
28,Pair,Glycerol + Inosine,G10,1
28,Pair,Glycerol + Inosine,G11,2
28,Pair,Glycerol + Inosine,G12,3
29,Pair,L-Alanine + D-Glucose,H1,1
29,Pair,L-Alanine + D-Glucose,H2,2
29,Pair,L-Alanine + D-Glucose,H3,3
30,Pair,Malate + L-Isoleucine,H4,1
30,Pair,Malate + L-Isoleucine,H5,2
30,Pair,Malate + L-Isoleucine,H6,3
31,Pair,Mannitol + Myo-inositol,H7,1
31,Pair,Mannitol + Myo-inositol,H8,2
31,Pair,Mannitol + Myo-inositol,H9,3
32,,No CS,H10,1
32,,No CS,H11,2
32,,No CS,H12,3
